fpath,dist_idx,dist,img,ver,mos_std,mos,ref_img
dst_imgs/AWGN/1600.AWGN.1.png,1,awgn,1600,1,0.061,0.062,src_imgs/1600.png
dst_imgs/AWGN/1600.AWGN.2.png,1,awgn,1600,2,0.09699999999999999,0.20600000000000002,src_imgs/1600.png
dst_imgs/AWGN/1600.AWGN.3.png,1,awgn,1600,3,0.033,0.262,src_imgs/1600.png
dst_imgs/AWGN/1600.AWGN.4.png,1,awgn,1600,4,0.107,0.375,src_imgs/1600.png
dst_imgs/AWGN/1600.AWGN.5.png,1,awgn,1600,5,0.12,0.467,src_imgs/1600.png
dst_imgs/AWGN/aerial_city.AWGN.1.png,1,awgn,aerial_city,1,0.013999999999999999,0.032,src_imgs/aerial_city.png
dst_imgs/AWGN/aerial_city.AWGN.2.png,1,awgn,aerial_city,2,0.08199999999999999,0.125,src_imgs/aerial_city.png
dst_imgs/AWGN/aerial_city.AWGN.3.png,1,awgn,aerial_city,3,0.064,0.245,src_imgs/aerial_city.png
dst_imgs/AWGN/aerial_city.AWGN.4.png,1,awgn,aerial_city,4,0.054000000000000006,0.373,src_imgs/aerial_city.png
dst_imgs/AWGN/aerial_city.AWGN.5.png,1,awgn,aerial_city,5,0.046,0.501,src_imgs/aerial_city.png
dst_imgs/AWGN/boston.AWGN.1.png,1,awgn,boston,1,0.042,0.028999999999999998,src_imgs/boston.png
dst_imgs/AWGN/boston.AWGN.2.png,1,awgn,boston,2,0.022000000000000002,0.081,src_imgs/boston.png
dst_imgs/AWGN/boston.AWGN.3.png,1,awgn,boston,3,0.046,0.215,src_imgs/boston.png
dst_imgs/AWGN/boston.AWGN.4.png,1,awgn,boston,4,0.114,0.38299999999999995,src_imgs/boston.png
dst_imgs/AWGN/boston.AWGN.5.png,1,awgn,boston,5,0.076,0.47200000000000003,src_imgs/boston.png
dst_imgs/AWGN/bridge.AWGN.1.png,1,awgn,bridge,1,0.006999999999999999,0.027999999999999997,src_imgs/bridge.png
dst_imgs/AWGN/bridge.AWGN.2.png,1,awgn,bridge,2,0.07200000000000001,0.08800000000000001,src_imgs/bridge.png
dst_imgs/AWGN/bridge.AWGN.3.png,1,awgn,bridge,3,0.127,0.252,src_imgs/bridge.png
dst_imgs/AWGN/bridge.AWGN.4.png,1,awgn,bridge,4,0.11900000000000001,0.409,src_imgs/bridge.png
dst_imgs/AWGN/bridge.AWGN.5.png,1,awgn,bridge,5,0.077,0.517,src_imgs/bridge.png
dst_imgs/AWGN/butter_flower.AWGN.1.png,1,awgn,butter_flower,1,0.006999999999999999,0.027000000000000003,src_imgs/butter_flower.png
dst_imgs/AWGN/butter_flower.AWGN.2.png,1,awgn,butter_flower,2,0.073,0.08900000000000001,src_imgs/butter_flower.png
dst_imgs/AWGN/butter_flower.AWGN.3.png,1,awgn,butter_flower,3,0.163,0.252,src_imgs/butter_flower.png
dst_imgs/AWGN/butter_flower.AWGN.4.png,1,awgn,butter_flower,4,0.22,0.435,src_imgs/butter_flower.png
dst_imgs/AWGN/butter_flower.AWGN.5.png,1,awgn,butter_flower,5,0.15,0.545,src_imgs/butter_flower.png
dst_imgs/AWGN/cactus.AWGN.1.png,1,awgn,cactus,1,0.055,0.10400000000000001,src_imgs/cactus.png
dst_imgs/AWGN/cactus.AWGN.2.png,1,awgn,cactus,2,0.114,0.20600000000000002,src_imgs/cactus.png
dst_imgs/AWGN/cactus.AWGN.3.png,1,awgn,cactus,3,0.126,0.349,src_imgs/cactus.png
dst_imgs/AWGN/cactus.AWGN.4.png,1,awgn,cactus,4,0.133,0.439,src_imgs/cactus.png
dst_imgs/AWGN/cactus.AWGN.5.png,1,awgn,cactus,5,0.134,0.498,src_imgs/cactus.png
dst_imgs/AWGN/child_swimming.AWGN.1.png,1,awgn,child_swimming,1,0.0,0.027999999999999997,src_imgs/child_swimming.png
dst_imgs/AWGN/child_swimming.AWGN.2.png,1,awgn,child_swimming,2,0.065,0.12,src_imgs/child_swimming.png
dst_imgs/AWGN/child_swimming.AWGN.3.png,1,awgn,child_swimming,3,0.09300000000000001,0.272,src_imgs/child_swimming.png
dst_imgs/AWGN/child_swimming.AWGN.4.png,1,awgn,child_swimming,4,0.121,0.413,src_imgs/child_swimming.png
dst_imgs/AWGN/child_swimming.AWGN.5.png,1,awgn,child_swimming,5,0.111,0.489,src_imgs/child_swimming.png
dst_imgs/AWGN/couple.AWGN.1.png,1,awgn,couple,1,0.004,0.006,src_imgs/couple.png
dst_imgs/AWGN/couple.AWGN.2.png,1,awgn,couple,2,0.057999999999999996,0.109,src_imgs/couple.png
dst_imgs/AWGN/couple.AWGN.3.png,1,awgn,couple,3,0.06,0.204,src_imgs/couple.png
dst_imgs/AWGN/couple.AWGN.4.png,1,awgn,couple,4,0.040999999999999995,0.325,src_imgs/couple.png
dst_imgs/AWGN/couple.AWGN.5.png,1,awgn,couple,5,0.049,0.47,src_imgs/couple.png
dst_imgs/AWGN/elk.AWGN.1.png,1,awgn,elk,1,0.040999999999999995,0.033,src_imgs/elk.png
dst_imgs/AWGN/elk.AWGN.2.png,1,awgn,elk,2,0.019,0.065,src_imgs/elk.png
dst_imgs/AWGN/elk.AWGN.3.png,1,awgn,elk,3,0.1,0.172,src_imgs/elk.png
dst_imgs/AWGN/elk.AWGN.4.png,1,awgn,elk,4,0.13,0.237,src_imgs/elk.png
dst_imgs/AWGN/elk.AWGN.5.png,1,awgn,elk,5,0.10800000000000001,0.358,src_imgs/elk.png
dst_imgs/AWGN/family.AWGN.1.png,1,awgn,family,1,0.057999999999999996,0.08800000000000001,src_imgs/family.png
dst_imgs/AWGN/family.AWGN.2.png,1,awgn,family,2,0.085,0.15,src_imgs/family.png
dst_imgs/AWGN/family.AWGN.3.png,1,awgn,family,3,0.066,0.275,src_imgs/family.png
dst_imgs/AWGN/family.AWGN.4.png,1,awgn,family,4,0.073,0.375,src_imgs/family.png
dst_imgs/AWGN/family.AWGN.5.png,1,awgn,family,5,0.087,0.48,src_imgs/family.png
dst_imgs/AWGN/fisher.AWGN.1.png,1,awgn,fisher,1,0.04,0.052000000000000005,src_imgs/fisher.png
dst_imgs/AWGN/fisher.AWGN.2.png,1,awgn,fisher,2,0.091,0.13,src_imgs/fisher.png
dst_imgs/AWGN/fisher.AWGN.3.png,1,awgn,fisher,3,0.105,0.21600000000000003,src_imgs/fisher.png
dst_imgs/AWGN/fisher.AWGN.4.png,1,awgn,fisher,4,0.13699999999999998,0.312,src_imgs/fisher.png
dst_imgs/AWGN/fisher.AWGN.5.png,1,awgn,fisher,5,0.209,0.44,src_imgs/fisher.png
